chamber,name,party,state
Senado,José Serra,PSDB,SP
Camara dos Deputados,Josias Gomes,PT,BA
Camara dos Deputados,Josimar Maranhãozinho,PL,MA
Camara dos Deputados,Josivaldo Jp,PSD,MA
Camara dos Deputados,Juarez Costa,MDB,MT
Camara dos Deputados,Julian Lemos,UNIÃO,PB
Camara dos Deputados,Júlio Cesar,PSD,PI
Camara dos Deputados,Julio Cesar Ribeiro,REPUBLICANOS,DF
Camara dos Deputados,Júlio Delgado,PV,MG
Senado,Julio Ventura,PDT,CE
Camara dos Deputados,Juninho Do Pneu,UNIÃO,RJ
Camara dos Deputados,Junio Amaral,PL,MG
Camara dos Deputados,Júnior Ferrari,PSD,PA
Camara dos Deputados,Junior Lourenço,PL,MA
Camara dos Deputados,Júnior Mano,PL,CE
Camara dos Deputados,Juscelino Filho,UNIÃO,MA
Camara dos Deputados,Kim Kataguiri,UNIÃO,SP
Camara dos Deputados,Laercio Oliveira,PP,SE
Camara dos Deputados,Lafayette De Andrada,REPUBLICANOS,MG
Senado,Lasier Martins,PODEMOS,RS
Camara dos Deputados,Lauriete,PSC,ES
Camara dos Deputados,Lázaro Botelho,PP,TO
Camara dos Deputados,Leandre,PSD,PR
Camara dos Deputados,Leda Sadala,PP,AP
Senado,Leila Barros,PDT,DF
Camara dos Deputados,Leo De Brito,PT,AC
Camara dos Deputados,Léo Moraes,PODE,RO
Camara dos Deputados,Léo Motta,REPUBLICANOS,MG
Camara dos Deputados,Leonardo Monteiro,PT,MG
Camara dos Deputados,Leônidas Cristino,PDT,CE
Camara dos Deputados,Leur Lomanto Júnior,UNIÃO,BA
Camara dos Deputados,Lídice Da Mata,PSB,BA
Camara dos Deputados,Lincoln Portela,PL,MG
Camara dos Deputados,Liziane Bayer,REPUBLICANOS,RS
Camara dos Deputados,Loester Trutis,PL,MS
Camara dos Deputados,Lourival Gomes,PP,RJ
Senado,Lucas Barreto,PSD,AP
Camara dos Deputados,Lucas Follador,PSC,RO
Camara dos Deputados,Lucas Gonzalez,NOVO,MG
Camara dos Deputados,Lucas Redecker,PSDB,RS
Camara dos Deputados,Lucas Vergilio,SOLIDARIEDADE,GO
Camara dos Deputados,Luciano Bivar,UNIÃO,PE
Camara dos Deputados,Luciano Ducci,PSB,PR
Camara dos Deputados,Lucio Mosquini,MDB,RO
Camara dos Deputados,Luisa Canziani,PSD,PR
Senado,Luis Carlos Heinze,PP,RS
Camara dos Deputados,Luis Miranda,REPUBLICANOS,DF
Camara dos Deputados,Luis Tibé,AVANTE,MG
Camara dos Deputados,Luiza Erundina,PSOL,SP
Camara dos Deputados,Luiz Antônio Corrêa,PP,RJ
Camara dos Deputados,Luizão Goulart,SOLIDARIEDADE,PR
Camara dos Deputados,Luiz Carlos,PSDB,AP
Senado,Luiz Carlos do Carmo,PSC,GO
Camara dos Deputados,Luiz Carlos Motta,PL,SP
Camara dos Deputados,Luizianne Lins,PT,CE
Camara dos Deputados,Luiz Lima,PL,RJ
Camara dos Deputados,Luiz Nishimori,PSD,PR
Senado,Luiz Pastore,MDB,ES
Camara dos Deputados,Luiz Philippe De Orleans E Bragança,PL,SP
Camara dos Deputados,Magda Mofatto,PL,GO
Senado,Mailza Gomes,PP,AC
Camara dos Deputados,Major Fabiana,PL,RJ
Camara dos Deputados,Major Vitor Hugo,PL,GO
Senado,Mara Gabrilli,PSDB,SP
Camara dos Deputados,Mara Rocha,MDB,AC
Camara dos Deputados,Marcelo Álvaro Antônio,PL,MG
Camara dos Deputados,Marcelo Aro,PP,MG
Camara dos Deputados,Marcelo Calero,PSD,RJ
