chamber,name,wikipedia,ID,party,state
Camara dos Deputados,Eduardo Bolsonaro,https://pt.wikipedia.org/wiki/Eduardo_Bolsonaro,Q18246320,PL,SP
Senado,Eduardo Braga,,,MDB,AM
Camara dos Deputados,Eduardo Costa,,,PSD,PA
Camara dos Deputados,Eduardo Cury,https://pt.wikipedia.org/wiki/Eduardo_Cury,Q10270649,PSDB,SP
Camara dos Deputados,Eduardo da Fonte,https://pt.wikipedia.org/wiki/Eduardo_da_Fonte,Q10270805,PP,PE
Senado,Eduardo Girão,https://pt.wikipedia.org/wiki/Eduardo_Girão,Q57699261,PODEMOS,CE
Senado,Eduardo Velloso,,,UNIÃO,AC
Camara dos Deputados,Efraim Filho,,,UNIÃO,PB
Camara dos Deputados,Elcione Barbalho,https://pt.wikipedia.org/wiki/Elcione_Barbalho,Q10271244,MDB,PA
Senado,Eliane Nogueira,,,PP,PI
Camara dos Deputados,Elias Vaz,,,PSB,GO
Camara dos Deputados,Eli Borges,https://pt.wikipedia.org/wiki/Eli_Borges,Q58997105,PL,TO
Camara dos Deputados,Eli Corrêa Filho,https://pt.wikipedia.org/wiki/Eli_Corrêa_Filho,Q10271797,UNIÃO,SP
Camara dos Deputados,Eliza Virgínia,,,PP,PB
Senado,Eliziane Gama,https://pt.wikipedia.org/wiki/Eliziane_Gama,Q10271991,CIDADANIA,MA
Senado,Elmano Férrer,https://pt.wikipedia.org/wiki/Elmano_Férrer,Q10272016,PP,PI
Camara dos Deputados,Elmar Nascimento,https://pt.wikipedia.org/wiki/Elmar_Nascimento,Q25441500,UNIÃO,BA
Camara dos Deputados,Emanuel Pinheiro Neto,,,MDB,MT
Camara dos Deputados,Emidinho Madeira,https://pt.wikipedia.org/wiki/Emidinho_Madeira,Q60782592,PL,MG
Camara dos Deputados,Enio Verri,,,PT,PR
Camara dos Deputados,Enrico Misasi,https://pt.wikipedia.org/wiki/Enrico_Misasi,Q59203762,MDB,SP
Camara dos Deputados,Erika Kokay,https://pt.wikipedia.org/wiki/Erika_Kokay,Q10273609,PT,DF
Camara dos Deputados,Eros Ferreira Biondini,https://pt.wikipedia.org/wiki/Eros_Biondini,Q10274145,PL,MG
Senado,Esperidião Amin,https://pt.wikipedia.org/wiki/Esperidião_Amin,Q2738543,PP,SC
Camara dos Deputados,Euclydes Pettersen,,,PSC,MG
Camara dos Deputados,Evair de Melo,https://pt.wikipedia.org/wiki/Evair_de_Melo,Q23905413,PP,ES
Camara dos Deputados,Expedito Netto,https://pt.wikipedia.org/wiki/Expedito_Netto,Q48871952,PSD,RO
Senado,Fabiano Contarato,https://pt.wikipedia.org/wiki/Fabiano_Contarato,Q58237468,PT,ES
Camara dos Deputados,Fábio Henrique,,,UNIÃO,SE
Camara dos Deputados,Fábio Ramalho,https://pt.wikipedia.org/wiki/Fábio_Ramalho,Q28678579,MDB,MG
